"";"gene_id";"gene_type"
"6512";"ENSG00000268575.1";"processed_transcript"
"6534";"ENSG00000227775.3";"pseudogene"
"6547";"ENSG00000215790.2";"protein_coding"
"6605";"ENSG00000008130.11";"protein_coding"
"6873";"ENSG00000078369.13";"protein_coding"
"6976";"ENSG00000231050.1";"antisense"
"6980";"ENSG00000169885.5";"protein_coding"
"7021";"ENSG00000178821.8";"protein_coding"
"7082";"ENSG00000142609.13";"protein_coding"
"7253";"ENSG00000233542.1";"antisense"
"7257";"ENSG00000187730.6";"protein_coding"
"7281";"ENSG00000226969.1";"antisense"
"7289";"ENSG00000067606.11";"protein_coding"
"7729";"ENSG00000271806.1";"antisense"
"7732";"ENSG00000182873.4";"antisense"
"7742";"ENSG00000162585.12";"protein_coding"
"7909";"ENSG00000269554.1";"protein_coding"
"7917";"ENSG00000203301.2";"protein_coding"
"7925";"ENSG00000243558.1";"lincRNA"
"7929";"ENSG00000234396.3";"lincRNA"
"7933";"ENSG00000157933.9";"protein_coding"
"7963";"ENSG00000116151.9";"protein_coding"
"8097";"ENSG00000272161.1";"sense_intronic"
"8100";"ENSG00000269753.1";"protein_coding"
"8104";"ENSG00000269896.1";"processed_transcript"
"8107";"ENSG00000238240.2";"pseudogene"
"8110";"ENSG00000272420.1";"sense_intronic"
"8113";"ENSG00000271921.1";"sense_intronic"
"8116";"ENSG00000271847.1";"sense_intronic"
"8119";"ENSG00000178642.5";"pseudogene"
"8123";"ENSG00000157916.14";"protein_coding"
"8251";"ENSG00000157911.5";"protein_coding"
"8356";"ENSG00000149527.13";"protein_coding"
"8654";"ENSG00000224387.1";"antisense"
"8658";"ENSG00000229393.1";"antisense"
"8662";"ENSG00000157881.9";"protein_coding"
"8862";"ENSG00000197921.5";"protein_coding"
"8874";"ENSG00000272449.1";"lincRNA"
"8877";"ENSG00000238164.2";"processed_transcript"
"8903";"ENSG00000157873.13";"protein_coding"
"9063";"ENSG00000225931.3";"antisense"
"9068";"ENSG00000228037.1";"antisense"
"9073";"ENSG00000157870.10";"protein_coding"
"9252";"ENSG00000142606.11";"protein_coding"
"9481";"ENSG00000237058.1";"antisense"
"9485";"ENSG00000215912.7";"protein_coding"
"9541";"ENSG00000233234.1";"lincRNA"
"9545";"ENSG00000231630.1";"lincRNA"
"9549";"ENSG00000169717.5";"protein_coding"
"9557";"ENSG00000177133.6";"antisense"
"9590";"ENSG00000256761.1";"pseudogene"
"9594";"ENSG00000142611.12";"protein_coding"
"9933";"ENSG00000226286.1";"antisense"
"9937";"ENSG00000272235.1";"lincRNA"
"9940";"ENSG00000130762.10";"protein_coding"
"10098";"ENSG00000272088.1";"lincRNA"
"10101";"ENSG00000162591.11";"protein_coding"
"10354";"ENSG00000207776.1";"miRNA"
"10357";"ENSG00000238260.1";"antisense"
"10362";"ENSG00000158109.10";"protein_coding"
"10391";"ENSG00000116213.11";"protein_coding"
"10522";"ENSG00000078900.10";"protein_coding"
"10855";"ENSG00000227589.1";"antisense"
"10860";"ENSG00000235131.1";"antisense"
"10864";"ENSG00000227372.6";"antisense"
"10901";"ENSG00000162592.4";"protein_coding"
"10960";"ENSG00000235169.3";"protein_coding"
"10990";"ENSG00000130764.5";"protein_coding"
"11028";"ENSG00000266075.1";"misc_RNA"
"11031";"ENSG00000272153.1";"antisense"
"11034";"ENSG00000116198.8";"protein_coding"
"11190";"ENSG00000169598.11";"protein_coding"
"11383";"ENSG00000264428.1";"miRNA"
"11386";"ENSG00000198912.6";"protein_coding"
"11410";"ENSG00000236423.1";"lincRNA"
"11423";"ENSG00000233304.1";"lincRNA"
"11432";"ENSG00000226374.1";"lincRNA"
"11437";"ENSG00000229280.1";"pseudogene"
"11440";"ENSG00000235054.1";"lincRNA"
"11448";"ENSG00000227169.2";"lincRNA"
"11452";"ENSG00000232596.1";"lincRNA"
"11459";"ENSG00000196581.6";"protein_coding"
"11497";"ENSG00000231510.1";"lincRNA"
"11503";"ENSG00000260972.1";"lincRNA"
"11506";"ENSG00000264341.1";"miRNA"
"11509";"ENSG00000236948.1";"lincRNA"
"11513";"ENSG00000216045.2";"miRNA"
"11516";"ENSG00000264101.1";"miRNA"
"11519";"ENSG00000131697.13";"protein_coding"
"11775";"ENSG00000266687.1";"miRNA"
"11778";"ENSG00000069424.10";"protein_coding"
"12238";"ENSG00000268332.1";"protein_coding"
"12244";"ENSG00000116254.13";"protein_coding"
"12628";"ENSG00000116251.5";"protein_coding"
"12718";"ENSG00000226944.1";"antisense"
"12723";"ENSG00000158286.8";"protein_coding"
"12845";"ENSG00000116237.11";"protein_coding"
"12906";"ENSG00000225077.2";"antisense"
"12916";"ENSG00000173673.7";"protein_coding"
"12930";"ENSG00000158292.6";"protein_coding"
"12948";"ENSG00000097021.15";"protein_coding"
"13177";"ENSG00000271746.1";"antisense"
"13180";"ENSG00000069812.7";"protein_coding"
"13243";"ENSG00000187017.10";"protein_coding"
"13369";"ENSG00000265392.1";"miRNA"
"13372";"ENSG00000231868.1";"antisense"
"13377";"ENSG00000215788.5";"protein_coding"
"13670";"ENSG00000171680.16";"protein_coding"
"14279";"ENSG00000162408.10";"protein_coding"
"14324";"ENSG00000253022.1";"snRNA"
"14327";"ENSG00000229519.2";"pseudogene"
"14331";"ENSG00000173662.15";"protein_coding"
"14395";"ENSG00000204859.7";"protein_coding"
"14489";"ENSG00000162413.12";"protein_coding"
"14550";"ENSG00000116273.5";"protein_coding"
"14567";"ENSG00000041988.11";"protein_coding"
"14652";"ENSG00000007923.11";"protein_coding"
