"";"gene_id";"gene_type"
"152956";"ENSG00000222457.1";"snRNA"
"152959";"ENSG00000143595.8";"protein_coding"
"152997";"ENSG00000143515.12";"protein_coding"
"153144";"ENSG00000238365.1";"snRNA"
"153147";"ENSG00000237920.2";"pseudogene"
"153152";"ENSG00000226855.1";"pseudogene"
"153155";"ENSG00000228013.1";"antisense"
"153159";"ENSG00000160712.8";"protein_coding"
"153258";"ENSG00000228264.1";"pseudogene"
"153261";"ENSG00000169291.5";"protein_coding"
"153295";"ENSG00000273110.1";"antisense"
"153299";"ENSG00000163239.8";"protein_coding"
"153383";"ENSG00000160714.5";"protein_coding"
"153447";"ENSG00000229780.1";"antisense"
"153451";"ENSG00000160716.4";"protein_coding"
"153469";"ENSG00000233875.1";"antisense"
"153473";"ENSG00000160710.11";"protein_coding"
"153631";"ENSG00000268141.1";"protein_coding"
"153637";"ENSG00000143603.14";"protein_coding"
"153705";"ENSG00000163344.5";"protein_coding"
"153721";"ENSG00000270361.1";"lincRNA"
"153724";"ENSG00000163346.12";"protein_coding"
"153875";"ENSG00000163348.3";"protein_coding"
"153902";"ENSG00000271380.1";"antisense"
"153905";"ENSG00000160691.14";"protein_coding"
"154155";"ENSG00000173207.8";"protein_coding"
"154202";"ENSG00000264349.1";"miRNA"
"154205";"ENSG00000160688.14";"protein_coding"
"154349";"ENSG00000163352.5";"protein_coding"
"154366";"ENSG00000160685.9";"protein_coding"
"154431";"ENSG00000163354.10";"protein_coding"
"154564";"ENSG00000163357.6";"protein_coding"
"154756";"ENSG00000232093.1";"antisense"
"154760";"ENSG00000143537.9";"protein_coding"
"155525";"ENSG00000243364.3";"protein_coding"
"155565";"ENSG00000143590.9";"protein_coding"
"155618";"ENSG00000251246.1";"protein_coding"
"155634";"ENSG00000202027.1";"misc_RNA"
"155637";"ENSG00000169242.7";"protein_coding"
"155682";"ENSG00000169241.13";"protein_coding"
"155792";"ENSG00000179085.7";"protein_coding"
"155818";"ENSG00000251780.1";"snRNA"
"155821";"ENSG00000223452.2";"pseudogene"
"155826";"ENSG00000163463.7";"protein_coding"
"155890";"ENSG00000273088.1";"protein_coding"
"155902";"ENSG00000163462.13";"protein_coding"
"156104";"ENSG00000185499.12";"protein_coding"
"156408";"ENSG00000271748.1";"miRNA"
"156411";"ENSG00000169231.9";"protein_coding"
"156665";"ENSG00000231064.1";"antisense"
"156693";"ENSG00000173171.10";"protein_coding"
"156796";"ENSG00000236263.1";"antisense"
"156800";"ENSG00000160766.10";"pseudogene"
"156890";"ENSG00000236675.1";"pseudogene"
"156899";"ENSG00000177628.11";"protein_coding"
"157087";"ENSG00000216109.1";"miRNA"
"157090";"ENSG00000160767.16";"protein_coding"
"157228";"ENSG00000116521.6";"protein_coding"
"157314";"ENSG00000176444.14";"protein_coding"
"157466";"ENSG00000143630.5";"protein_coding"
"157506";"ENSG00000143627.13";"protein_coding"
"157575";"ENSG00000160752.10";"protein_coding"
"157756";"ENSG00000225855.2";"antisense"
"157775";"ENSG00000160753.11";"protein_coding"
"157982";"ENSG00000116539.6";"protein_coding"
"158147";"ENSG00000207720.1";"miRNA"
"158150";"ENSG00000207134.1";"snRNA"
"158153";"ENSG00000227773.1";"sense_intronic"
"158157";"ENSG00000238805.1";"snoRNA"
"158160";"ENSG00000207144.1";"snRNA"
"158163";"ENSG00000237872.3";"pseudogene"
"158170";"ENSG00000235919.3";"processed_transcript"
"158179";"ENSG00000271267.1";"pseudogene"
"158182";"ENSG00000225082.2";"pseudogene"
"158187";"ENSG00000223503.1";"pseudogene"
"158190";"ENSG00000232519.2";"antisense"
"158194";"ENSG00000125459.10";"protein_coding"
"158449";"ENSG00000203761.4";"pseudogene"
"158483";"ENSG00000246203.2";"pseudogene"
"158494";"ENSG00000163374.15";"protein_coding"
"159012";"ENSG00000132676.11";"protein_coding"
"159387";"ENSG00000227673.1";"antisense"
"159391";"ENSG00000116580.14";"protein_coding"
"159723";"ENSG00000234937.1";"pseudogene"
"159727";"ENSG00000132718.7";"protein_coding"
"159752";"ENSG00000201614.1";"snRNA"
"159755";"ENSG00000143622.6";"protein_coding"
"159840";"ENSG00000132680.6";"protein_coding"
"159970";"ENSG00000207475.1";"snoRNA"
"159973";"ENSG00000252808.1";"snoRNA"
"159976";"ENSG00000173080.4";"protein_coding"
"159984";"ENSG00000116584.13";"protein_coding"
"160428";"ENSG00000273002.1";"antisense"
"160432";"ENSG00000224276.1";"antisense"
"160436";"ENSG00000163479.9";"protein_coding"
"160622";"ENSG00000160803.7";"protein_coding"
"160659";"ENSG00000116586.7";"protein_coding"
"160708";"ENSG00000132698.9";"protein_coding"
"160740";"ENSG00000254726.2";"protein_coding"
"160753";"ENSG00000222611.1";"miRNA"
"160756";"ENSG00000160789.15";"protein_coding"
"161114";"ENSG00000196189.8";"protein_coding"
"161377";"ENSG00000252236.1";"snoRNA"
"161380";"ENSG00000160785.9";"protein_coding"
"161419";"ENSG00000260238.1";"protein_coding"
"161475";"ENSG00000160783.15";"protein_coding"
"161595";"ENSG00000242252.1";"protein_coding"
"161612";"ENSG00000160781.11";"protein_coding"
"161773";"ENSG00000198952.7";"protein_coding"
"161861";"ENSG00000163472.14";"protein_coding"
"161926";"ENSG00000198715.7";"protein_coding"
"162024";"ENSG00000189030.8";"protein_coding"
"162032";"ENSG00000163468.10";"protein_coding"
"162351";"ENSG00000228155.1";"pseudogene"
"162356";"ENSG00000163467.7";"protein_coding"
"162461";"ENSG00000132677.8";"protein_coding"
"162722";"ENSG00000237390.1";"lincRNA"
"162726";"ENSG00000125462.12";"protein_coding"
"162888";"ENSG00000207933.2";"miRNA"
"162891";"ENSG00000236947.1";"lincRNA"
"162901";"ENSG00000116604.13";"protein_coding"
"163102";"ENSG00000206651.1";"misc_RNA"
"163105";"ENSG00000260460.1";"lincRNA"
"163108";"ENSG00000183856.6";"protein_coding"
"163277";"ENSG00000238843.1";"snoRNA"
"163280";"ENSG00000187862.7";"protein_coding"
"163352";"ENSG00000265960.1";"miRNA"
"163355";"ENSG00000163382.7";"protein_coding"
"163413";"ENSG00000160818.12";"protein_coding"
"163586";"ENSG00000272971.1";"lincRNA"
"163589";"ENSG00000132702.8";"protein_coding"
"163634";"ENSG00000272068.1";"lincRNA"
"163637";"ENSG00000132692.14";"protein_coding"
"163768";"ENSG00000272405.1";"antisense"
"163771";"ENSG00000229953.1";"antisense"
"163775";"ENSG00000132688.10";"protein_coding"
"163789";"ENSG00000237588.2";"lincRNA"
"163793";"ENSG00000143320.4";"protein_coding"
"163833";"ENSG00000223356.1";"antisense"
"163837";"ENSG00000143319.12";"protein_coding"
"163875";"ENSG00000143303.7";"protein_coding"
"163989";"ENSG00000143314.8";"protein_coding"
"164063";"ENSG00000143321.14";"protein_coding"
"164189";"ENSG00000143294.10";"protein_coding"
"164267";"ENSG00000027869.7";"protein_coding"
"164350";"ENSG00000198400.7";"protein_coding"
"164575";"ENSG00000027644.4";"protein_coding"
"164625";"ENSG00000187800.9";"protein_coding"
"164790";"ENSG00000160838.9";"protein_coding"
"164852";"ENSG00000132694.14";"protein_coding"
"165108";"ENSG00000211581.1";"miRNA"
"165111";"ENSG00000266160.1";"misc_RNA"
"165114";"ENSG00000237842.2";"pseudogene"
"165117";"ENSG00000224520.2";"pseudogene"
"165120";"ENSG00000253831.1";"protein_coding"
"165136";"ENSG00000117036.7";"protein_coding"
"165169";"ENSG00000235700.1";"pseudogene"
"165172";"ENSG00000229961.1";"lincRNA"
"165176";"ENSG00000228239.1";"lincRNA"
"165180";"ENSG00000271736.1";"lincRNA"
"165184";"ENSG00000237189.1";"lincRNA"
"165188";"ENSG00000143297.14";"protein_coding"
"165381";"ENSG00000163518.6";"protein_coding"
"165427";"ENSG00000236731.1";"pseudogene"
"165431";"ENSG00000233712.1";"pseudogene"
"165435";"ENSG00000160856.16";"protein_coding"
"165687";"ENSG00000227217.1";"antisense"
"165691";"ENSG00000231700.3";"pseudogene"
"165694";"ENSG00000232366.1";"pseudogene"
"165697";"ENSG00000132704.11";"protein_coding"
"165793";"ENSG00000163534.10";"protein_coding"
"165908";"ENSG00000073754.5";"protein_coding"
"165931";"ENSG00000227425.1";"pseudogene"
"165934";"ENSG00000236957.3";"pseudogene"
"165947";"ENSG00000183853.13";"protein_coding"
"166138";"ENSG00000226520.1";"sense_intronic"
"166142";"ENSG00000231666.1";"lincRNA"
"166152";"ENSG00000227295.2";"pseudogene"
"166155";"ENSG00000158473.6";"protein_coding"
"166175";"ENSG00000229914.1";"pseudogene"
"166178";"ENSG00000176320.2";"lincRNA"
"166182";"ENSG00000158477.6";"protein_coding"
"166200";"ENSG00000230942.1";"pseudogene"
"166204";"ENSG00000158481.8";"protein_coding"
"166233";"ENSG00000158485.6";"protein_coding"
"166264";"ENSG00000158488.11";"protein_coding"
"166477";"ENSG00000186306.1";"protein_coding"
"166484";"ENSG00000180708.4";"protein_coding"
"166491";"ENSG00000203758.4";"pseudogene"
"166494";"ENSG00000236257.1";"pseudogene"
"166497";"ENSG00000173285.2";"protein_coding"
"166505";"ENSG00000236656.1";"antisense"
"166514";"ENSG00000198965.3";"protein_coding"
"166521";"ENSG00000198703.2";"pseudogene"
"166524";"ENSG00000227445.1";"pseudogene"
"166527";"ENSG00000231434.1";"pseudogene"
"166530";"ENSG00000197532.1";"protein_coding"
"166537";"ENSG00000186440.1";"protein_coding"
"166544";"ENSG00000186400.3";"protein_coding"
"166551";"ENSG00000198967.3";"protein_coding"
"166558";"ENSG00000163554.7";"protein_coding"
"166709";"ENSG00000231237.1";"pseudogene"
"166712";"ENSG00000196171.2";"protein_coding"
"166720";"ENSG00000203757.1";"protein_coding"
"166733";"ENSG00000180437.4";"pseudogene"
"166739";"ENSG00000226949.1";"pseudogene"
"166743";"ENSG00000180433.4";"protein_coding"
"166751";"ENSG00000197403.2";"protein_coding"
"166759";"ENSG00000188340.1";"protein_coding"
"166766";"ENSG00000229724.1";"pseudogene"
"166769";"ENSG00000180409.2";"pseudogene"
"166775";"ENSG00000163563.7";"protein_coding"
"166807";"ENSG00000229849.1";"pseudogene"
"166813";"ENSG00000163564.10";"protein_coding"
"166934";"ENSG00000163565.14";"protein_coding"
"167201";"ENSG00000265589.1";"miRNA"
"167204";"ENSG00000163568.9";"protein_coding"
"167245";"ENSG00000233473.2";"pseudogene"
"167248";"ENSG00000162706.8";"protein_coding"
"167318";"ENSG00000222552.1";"rRNA"
"167321";"ENSG00000225670.3";"antisense"
"167330";"ENSG00000213088.5";"protein_coding"
"167365";"ENSG00000215846.5";"pseudogene"
"167371";"ENSG00000248642.1";"pseudogene"
"167374";"ENSG00000179639.6";"protein_coding"
"167407";"ENSG00000196266.4";"protein_coding"
"167414";"ENSG00000228560.1";"antisense"
"167420";"ENSG00000248442.2";"pseudogene"
"167423";"ENSG00000251686.1";"pseudogene"
"167426";"ENSG00000249197.1";"pseudogene"
"167429";"ENSG00000249730.1";"polymorphic_pseudogene"
"167436";"ENSG00000196184.7";"protein_coding"
"167444";"ENSG00000224943.1";"lincRNA"
"167449";"ENSG00000184155.7";"protein_coding"
"167457";"ENSG00000231100.1";"pseudogene"
"167461";"ENSG00000271890.1";"pseudogene"
"167464";"ENSG00000132703.3";"protein_coding"
"167474";"ENSG00000158731.2";"pseudogene"
"167477";"ENSG00000223603.1";"pseudogene"
"167480";"ENSG00000132693.8";"protein_coding"
"167557";"ENSG00000235226.1";"pseudogene"
"167560";"ENSG00000158716.4";"protein_coding"
"167592";"ENSG00000181036.9";"protein_coding"
"167715";"ENSG00000158714.6";"protein_coding"
"167754";"ENSG00000188004.5";"protein_coding"
"167776";"ENSG00000212161.1";"snoRNA"
"167779";"ENSG00000243284.1";"protein_coding"
"167799";"ENSG00000256029.1";"protein_coding"
"167838";"ENSG00000272668.1";"antisense"
"167841";"ENSG00000213085.5";"protein_coding"
"167928";"ENSG00000266458.1";"miRNA"
"167931";"ENSG00000269620.1";"protein_coding"
"167936";"ENSG00000158710.10";"protein_coding"
"168000";"ENSG00000085552.12";"protein_coding"
"168137";"ENSG00000162723.5";"protein_coding"
"168170";"ENSG00000224259.1";"lincRNA"
"168179";"ENSG00000237409.2";"pseudogene"
"168182";"ENSG00000260766.1";"sense_overlapping"
"168185";"ENSG00000143315.5";"protein_coding"
"168193";"ENSG00000177807.6";"protein_coding"
"168205";"ENSG00000225279.1";"antisense"
"168212";"ENSG00000162728.4";"protein_coding"
"168224";"ENSG00000162729.9";"protein_coding"
"168277";"ENSG00000018625.10";"protein_coding"
"168452";"ENSG00000132681.12";"protein_coding"
"168599";"ENSG00000143318.8";"protein_coding"
"168678";"ENSG00000227741.1";"antisense"
"168685";"ENSG00000162734.8";"protein_coding"
"168734";"ENSG00000265381.1";"miRNA"
"168737";"ENSG00000132716.14";"protein_coding"
"169039";"ENSG00000258465.2";"protein_coding"
"169096";"ENSG00000228606.1";"antisense"
"169100";"ENSG00000224261.2";"pseudogene"
"169103";"ENSG00000162735.14";"protein_coding"
"169261";"ENSG00000122218.10";"protein_coding"
"169427";"ENSG00000235082.2";"pseudogene"
"169430";"ENSG00000202078.1";"misc_RNA"
"169433";"ENSG00000162736.11";"protein_coding"
"169743";"ENSG00000171786.5";"protein_coding"
"169753";"ENSG00000201608.1";"snRNA"
"169756";"ENSG00000162738.5";"protein_coding"
"169782";"ENSG00000162739.9";"protein_coding"
"169844";"ENSG00000223009.1";"miRNA"
"169847";"ENSG00000234425.1";"antisense"
"169851";"ENSG00000066294.10";"protein_coding"
"169960";"ENSG00000264286.1";"miRNA"
"169963";"ENSG00000117090.10";"protein_coding"
"170037";"ENSG00000235101.1";"pseudogene"
"170040";"ENSG00000228863.4";"antisense"
"170055";"ENSG00000117091.5";"protein_coding"
"170078";"ENSG00000227239.2";"pseudogene"
"170082";"ENSG00000026751.12";"protein_coding"
"170208";"ENSG00000122224.13";"protein_coding"
"170416";"ENSG00000122223.8";"protein_coding"
"170533";"ENSG00000226003.2";"pseudogene"
"170536";"ENSG00000179914.4";"protein_coding"
"170565";"ENSG00000213080.3";"pseudogene"
"170568";"ENSG00000232188.1";"lincRNA"
"170572";"ENSG00000198358.4";"antisense"
"170580";"ENSG00000233691.2";"pseudogene"
"170583";"ENSG00000158764.6";"protein_coding"
"170613";"ENSG00000158769.13";"protein_coding"
"170678";"ENSG00000270149.1";"protein_coding"
"170729";"ENSG00000232879.2";"pseudogene"
"170732";"ENSG00000215845.6";"protein_coding"
"170798";"ENSG00000158773.10";"protein_coding"
"171011";"ENSG00000186517.9";"protein_coding"
"171159";"ENSG00000268154.1";"protein_coding"
"171165";"ENSG00000143217.7";"protein_coding"
"171208";"ENSG00000228917.1";"antisense"
"171213";"ENSG00000162755.9";"protein_coding"
"171266";"ENSG00000143256.4";"protein_coding"
"171283";"ENSG00000158793.9";"protein_coding"
"171421";"ENSG00000158796.12";"protein_coding"
"171574";"ENSG00000238934.1";"snoRNA"
"171577";"ENSG00000143222.7";"protein_coding"
"171621";"ENSG00000224985.1";"antisense"
"171625";"ENSG00000143258.11";"protein_coding"
"171780";"ENSG00000143224.13";"protein_coding"
"172005";"ENSG00000158850.10";"protein_coding"
"172098";"ENSG00000158859.9";"protein_coding"
"172134";"ENSG00000158864.8";"protein_coding"
"172308";"ENSG00000158869.6";"protein_coding"
"172344";"ENSG00000268387.1";"protein_coding"
"172352";"ENSG00000158874.7";"protein_coding"
"172461";"ENSG00000158882.8";"protein_coding"
"172573";"ENSG00000263548.1";"miRNA"
"172576";"ENSG00000143257.7";"protein_coding"
"173157";"ENSG00000248485.1";"protein_coding"
"173169";"ENSG00000158887.11";"protein_coding"
"173268";"ENSG00000143252.10";"protein_coding"
"173376";"ENSG00000188931.3";"protein_coding"
"173392";"ENSG00000235477.2";"lincRNA"
"173396";"ENSG00000273075.1";"lincRNA"
"173399";"ENSG00000236484.2";"pseudogene"
"173402";"ENSG00000206921.1";"snRNA"
"173405";"ENSG00000215840.3";"pseudogene"
"173409";"ENSG00000143226.9";"protein_coding"
"173533";"ENSG00000273112.1";"processed_transcript"
"173540";"ENSG00000173110.6";"protein_coding"
"173548";"ENSG00000224203.2";"pseudogene"
"173553";"ENSG00000203747.5";"protein_coding"
"173662";"ENSG00000224515.1";"antisense"
"173666";"ENSG00000072694.14";"protein_coding"
"173814";"ENSG00000244682.3";"polymorphic_pseudogene"
"173892";"ENSG00000225217.1";"pseudogene"
"173895";"ENSG00000231586.2";"pseudogene"
"173900";"ENSG00000162747.5";"protein_coding"
"173978";"ENSG00000234211.1";"antisense"
"173983";"ENSG00000213075.7";"pseudogene"
"173988";"ENSG00000199595.1";"misc_RNA"
"173991";"ENSG00000132185.12";"protein_coding"
"174171";"ENSG00000162746.10";"protein_coding"
"174277";"ENSG00000241347.2";"misc_RNA"
"174280";"ENSG00000081721.7";"protein_coding"
"174342";"ENSG00000226889.3";"antisense"
"174346";"ENSG00000118217.5";"protein_coding"
"174390";"ENSG00000229808.1";"pseudogene"
"174395";"ENSG00000162745.6";"protein_coding"
"174461";"ENSG00000227818.1";"lincRNA"
"174465";"ENSG00000198929.8";"protein_coding"
"174573";"ENSG00000266144.1";"miRNA"
"174576";"ENSG00000227094.1";"antisense"
"174580";"ENSG00000252262.1";"rRNA"
"174583";"ENSG00000207729.1";"miRNA"
"174586";"ENSG00000254706.1";"protein_coding"
"174594";"ENSG00000239887.3";"protein_coding"
"174626";"ENSG00000171722.7";"protein_coding"
"174647";"ENSG00000198574.4";"protein_coding"
"174675";"ENSG00000227243.2";"pseudogene"
"174678";"ENSG00000152332.11";"protein_coding"
"174747";"ENSG00000227941.1";"pseudogene"
"174750";"ENSG00000259788.1";"antisense"
"174753";"ENSG00000117143.9";"protein_coding"
"174865";"ENSG00000272574.1";"sense_intronic"
"174869";"ENSG00000162733.12";"protein_coding"
"174998";"ENSG00000243173.2";"misc_RNA"
"175001";"ENSG00000132196.9";"protein_coding"
"175126";"ENSG00000185860.9";"protein_coding"
"175176";"ENSG00000230739.1";"pseudogene"
"175185";"ENSG00000227667.1";"pseudogene"
"175188";"ENSG00000117152.9";"protein_coding"
"175308";"ENSG00000143248.8";"protein_coding"
"175412";"ENSG00000232892.1";"antisense"
"175418";"ENSG00000225755.2";"pseudogene"
"175424";"ENSG00000232995.3";"antisense"
"175468";"ENSG00000237756.1";"lincRNA"
"175472";"ENSG00000143228.8";"protein_coding"
"175681";"ENSG00000252740.1";"snoRNA"
"175684";"ENSG00000225122.1";"pseudogene"
"175688";"ENSG00000200327.1";"rRNA"
"175691";"ENSG00000212527.1";"rRNA"
"175694";"ENSG00000228289.1";"pseudogene"
"175697";"ENSG00000212538.1";"snoRNA"
"175700";"ENSG00000225719.2";"pseudogene"
"175703";"ENSG00000199849.1";"snRNA"
"175706";"ENSG00000213070.3";"pseudogene"
"175709";"ENSG00000185630.14";"protein_coding"
"175967";"ENSG00000207082.1";"snRNA"
"175970";"ENSG00000269887.1";"sense_intronic"
"175973";"ENSG00000233693.1";"antisense"
"175979";"ENSG00000271917.1";"sense_intronic"
"175982";"ENSG00000201987.1";"misc_RNA"
"175985";"ENSG00000225487.2";"pseudogene"
"175988";"ENSG00000201270.1";"snRNA"
"175991";"ENSG00000212086.1";"miRNA"
"175994";"ENSG00000252359.1";"snoRNA"
"175997";"ENSG00000162761.10";"protein_coding"
"176073";"ENSG00000224702.1";"antisense"
"176078";"ENSG00000238022.1";"antisense"
"176085";"ENSG00000143171.8";"protein_coding"
"176120";"ENSG00000237463.1";"antisense"
"176163";"ENSG00000230748.1";"pseudogene"
"176166";"ENSG00000162763.3";"protein_coding"
"176176";"ENSG00000237783.2";"pseudogene"
"176179";"ENSG00000236206.1";"lincRNA"
"176185";"ENSG00000143198.8";"protein_coding"
"176323";"ENSG00000143149.8";"protein_coding"
"176396";"ENSG00000206990.1";"misc_RNA"
"176399";"ENSG00000230175.1";"pseudogene"
"176402";"ENSG00000225272.2";"pseudogene"
"176405";"ENSG00000215838.4";"pseudogene"
"176414";"ENSG00000273365.1";"lincRNA"
"176417";"ENSG00000143183.12";"protein_coding"
"176548";"ENSG00000224358.1";"antisense"
"176552";"ENSG00000230659.2";"pseudogene"
"176557";"ENSG00000143179.8";"protein_coding"
"176647";"ENSG00000236364.2";"antisense"
"176651";"ENSG00000271527.1";"pseudogene"
"176654";"ENSG00000226292.1";"pseudogene"
"176657";"ENSG00000207341.1";"rRNA"
"176660";"ENSG00000188859.5";"protein_coding"
"176710";"ENSG00000267884.1";"protein_coding"
"176718";"ENSG00000203307.2";"antisense"
"176723";"ENSG00000230898.1";"sense_intronic"
"176727";"ENSG00000215952.1";"miRNA"
"176730";"ENSG00000215835.2";"pseudogene"
"176733";"ENSG00000229588.1";"lincRNA"
"176738";"ENSG00000225325.1";"lincRNA"
"176743";"ENSG00000230231.1";"pseudogene"
"176749";"ENSG00000234142.1";"lincRNA"
"176754";"ENSG00000238087.2";"pseudogene"
"176769";"ENSG00000215834.4";"pseudogene"
"176787";"ENSG00000234984.1";"pseudogene"
"176797";"ENSG00000232341.2";"pseudogene"
"176800";"ENSG00000232148.1";"pseudogene"
"176812";"ENSG00000232223.1";"pseudogene"
"176815";"ENSG00000143157.7";"protein_coding"
"176887";"ENSG00000152382.5";"protein_coding"
"176914";"ENSG00000225171.2";"pseudogene"
"176917";"ENSG00000237096.1";"lincRNA"
"176922";"ENSG00000143195.8";"protein_coding"
"177070";"ENSG00000143194.8";"protein_coding"
"177164";"ENSG00000200036.1";"rRNA"
"177167";"ENSG00000238325.1";"snoRNA"
"177170";"ENSG00000227907.1";"antisense"
"177174";"ENSG00000143167.7";"protein_coding"
"177217";"ENSG00000198842.5";"protein_coding"
"177269";"ENSG00000213068.3";"pseudogene"
"177272";"ENSG00000231605.1";"antisense"
"177293";"ENSG00000272205.1";"antisense"
"177296";"ENSG00000143190.17";"protein_coding"
"177697";"ENSG00000272033.1";"sense_intronic"
"177700";"ENSG00000198821.6";"protein_coding"
"177773";"ENSG00000233411.1";"sense_intronic"
"177777";"ENSG00000273160.1";"lincRNA"
"177781";"ENSG00000227776.1";"pseudogene"
"177785";"ENSG00000143162.7";"protein_coding"
"177803";"ENSG00000231029.2";"pseudogene"
"177806";"ENSG00000241666.2";"antisense"
"177810";"ENSG00000198771.6";"protein_coding"
"177874";"ENSG00000197965.7";"protein_coding"
"177968";"ENSG00000143199.13";"protein_coding"
"178218";"ENSG00000250762.1";"pseudogene"
"178222";"ENSG00000232194.1";"antisense"
"178226";"ENSG00000143158.6";"protein_coding"
"178272";"ENSG00000143164.11";"protein_coding"
"178528";"ENSG00000221545.1";"miRNA"
"178531";"ENSG00000224837.1";"pseudogene"
"178534";"ENSG00000143147.10";"protein_coding"
"178686";"ENSG00000143155.8";"protein_coding"
"178721";"ENSG00000237049.1";"pseudogene"
"178724";"ENSG00000237131.1";"pseudogene"
"178727";"ENSG00000213064.5";"protein_coding"
"178793";"ENSG00000214262.4";"pseudogene"
"178798";"ENSG00000206880.1";"snRNA"
"178801";"ENSG00000143178.8";"protein_coding"
"178854";"ENSG00000227722.1";"pseudogene"
"178857";"ENSG00000207974.1";"miRNA"
"178860";"ENSG00000228697.1";"lincRNA"
"178870";"ENSG00000215833.3";"pseudogene"
"178873";"ENSG00000237658.1";"lincRNA"
"178880";"ENSG00000143185.3";"protein_coding"
"178892";"ENSG00000227777.1";"pseudogene"
"178895";"ENSG00000143184.4";"protein_coding"
"178907";"ENSG00000229757.2";"pseudogene"
"178910";"ENSG00000143196.4";"protein_coding"
"178924";"ENSG00000221578.1";"miRNA"
"178927";"ENSG00000235736.1";"lincRNA"
"178931";"ENSG00000225826.1";"lincRNA"
"178936";"ENSG00000229612.1";"pseudogene"
"178939";"ENSG00000203601.3";"antisense"
"178946";"ENSG00000213063.3";"pseudogene"
"178949";"ENSG00000252987.1";"rRNA"
"178952";"ENSG00000237707.1";"antisense"
"178956";"ENSG00000143153.8";"protein_coding"
"179038";"ENSG00000143156.9";"protein_coding"
"179218";"ENSG00000235575.1";"antisense"
"179222";"ENSG00000117475.9";"protein_coding"
"179296";"ENSG00000117477.8";"protein_coding"
"179364";"ENSG00000234437.1";"lincRNA"
"179376";"ENSG00000117479.8";"protein_coding"
"179409";"ENSG00000234604.2";"pseudogene"
"179412";"ENSG00000213062.3";"pseudogene"
"179416";"ENSG00000198734.6";"protein_coding"
"179555";"ENSG00000174175.12";"protein_coding"
"179894";"ENSG00000000460.12";"protein_coding"
"180142";"ENSG00000188404.4";"protein_coding"
"180192";"ENSG00000007908.11";"protein_coding"
"180468";"ENSG00000230704.1";"lincRNA"
"180472";"ENSG00000171806.7";"protein_coding"
"180498";"ENSG00000000457.9";"protein_coding"
"180633";"ENSG00000239494.2";"misc_RNA"
"180636";"ENSG00000075945.8";"protein_coding"
"180858";"ENSG00000243051.2";"misc_RNA"
"180861";"ENSG00000235378.2";"pseudogene"
"180864";"ENSG00000203260.2";"pseudogene"
"180868";"ENSG00000232959.1";"antisense"
"180872";"ENSG00000224896.2";"pseudogene"
"180875";"ENSG00000203740.3";"protein_coding"
"180895";"ENSG00000263390.1";"miRNA"
"180898";"ENSG00000233985.1";"lincRNA"
"180904";"ENSG00000238051.1";"pseudogene"
"180907";"ENSG00000224286.1";"lincRNA"
"180916";"ENSG00000226967.1";"pseudogene"
"180919";"ENSG00000263384.1";"miRNA"
"180922";"ENSG00000231407.1";"antisense"
"180938";"ENSG00000120370.8";"protein_coding"
"180995";"ENSG00000225545.1";"lincRNA"
"180999";"ENSG00000235303.1";"lincRNA"
"181004";"ENSG00000116132.7";"protein_coding"
"181063";"ENSG00000271811.1";"lincRNA"
"181066";"ENSG00000117501.10";"protein_coding"
"181166";"ENSG00000215924.1";"miRNA"
"181169";"ENSG00000226552.2";"pseudogene"
"181172";"ENSG00000007933.8";"protein_coding"
"181307";"ENSG00000221390.1";"miRNA"
"181310";"ENSG00000117507.4";"protein_coding"
"181352";"ENSG00000094963.9";"protein_coding"
"181429";"ENSG00000225243.1";"antisense"
"181441";"ENSG00000231424.2";"antisense"
"181445";"ENSG00000010932.11";"protein_coding"
"181547";"ENSG00000206692.1";"misc_RNA"
"181550";"ENSG00000230547.1";"pseudogene"
"181553";"ENSG00000076258.5";"protein_coding"
"181599";"ENSG00000225704.2";"pseudogene"
"181602";"ENSG00000268062.1";"pseudogene"
"181605";"ENSG00000239428.2";"pseudogene"
"181608";"ENSG00000202082.1";"snRNA"
"181611";"ENSG00000234333.2";"pseudogene"
"181614";"ENSG00000238859.1";"snoRNA"
"181617";"ENSG00000117523.11";"protein_coding"
"181986";"ENSG00000239373.2";"misc_RNA"
"181989";"ENSG00000201126.1";"snRNA"
"181992";"ENSG00000034971.10";"protein_coding"
"182004";"ENSG00000233328.3";"pseudogene"
"182007";"ENSG00000230364.1";"pseudogene"
"182010";"ENSG00000117533.10";"protein_coding"
"182108";"ENSG00000232261.1";"pseudogene"
"182112";"ENSG00000271459.1";"pseudogene"
"182115";"ENSG00000236741.4";"pseudogene"
"182118";"ENSG00000253060.1";"snoRNA"
"182121";"ENSG00000010165.15";"protein_coding"
"182224";"ENSG00000213060.4";"pseudogene"
"182227";"ENSG00000252134.1";"misc_RNA"
"182230";"ENSG00000224600.4";"pseudogene"
"182235";"ENSG00000197959.9";"protein_coding"
"182492";"ENSG00000233540.1";"sense_intronic"
"182496";"ENSG00000207949.1";"miRNA"
"182499";"ENSG00000230630.1";"antisense"
"182505";"ENSG00000208024.1";"miRNA"
"182508";"ENSG00000252354.1";"snoRNA"
"182511";"ENSG00000206684.1";"snRNA"
"182514";"ENSG00000135845.5";"protein_coding"
"182564";"ENSG00000180999.6";"protein_coding"
"182632";"ENSG00000094975.9";"protein_coding"
"182858";"ENSG00000251943.1";"snRNA"
